0,5,1,4,1289241911.72836
1,5,4,2,1289241941.53378
2,1,11,1,1289243140.39049
3,3,2,7,1289245277.36975
4,10,12,8,1289254254.44746
5,10,9,8,1289254300.79514
6,6,4,1,1289362700.47913
7,1,16,5,1289370556.80938
8,1,15,5,1289370622.21473
9,16,1,5,1289380981.52787
10,16,1,8,1289441411.46365
11,16,9,8,1289441438.4426
12,16,7,9,1289441450.59006
13,16,2,7,1289441525.73831
14,13,2,5,1289442313.03711
15,13,17,1,1289489668.48486
16,9,1,8,1289555656.32898
17,9,5,7,1289555731.22217
18,9,16,8,1289555745.64663
19,9,7,1,1289555767.7095
20,9,18,10,1289555841.66508
21,9,1,7,1289555871.04233
22,9,2,7,1289555875.70958
23,3,19,1,1289641693.99029
24,19,3,1,1289641703.57785
25,4,1,3,1289660298.87048
26,4,5,3,1289660319.00982
27,4,6,1,1289660347.43795
28,1,4,4,1289710643.19963
29,5,3,2,1289770700.4293
30,3,5,5,1289770756.50297
31,1,3,5,1289771303.53929
32,13,20,1,1289836081.52099
33,13,10,2,1289873367.89538
34,10,13,2,1289873611.94452
35,10,21,2,1290088212.27332
36,21,10,2,1290090118.30882
37,13,15,2,1290108486.68868
38,3,22,1,1290197549.13082
39,22,3,2,1290197554.48422
40,23,5,1,1290300441.66925
41,10,1,8,1290520563.53596
42,6,25,1,1290644457.56157
43,25,6,1,1290644477.40213
44,23,1,1,1290666928.42163
45,1,23,1,1290666953.43175
46,1,25,1,1290750434.01249
47,25,1,1,1290752776.47886
48,25,10,1,1290758643.30207
49,10,25,1,1290761556.7369
50,5,6,5,1290826367.17211
51,6,5,3,1290826591.42034
52,1,13,9,1290969236.78019
53,1,22,2,1291052764.71454
54,22,1,3,1291055972.91439
55,26,5,2,1291056174.72596
56,1,10,3,1291090930.69481
57,27,28,1,1291157823.29216
58,28,27,1,1291159845.12556
59,26,1,1,1291159911.11891
60,13,1,9,1291217882.28299
61,7,1,3,1291315232.33698
62,6,21,2,1291376109.62385
63,1,15,2,1291505266.30993
64,28,31,1,1291515528.23159
65,31,28,1,1291515697.49227
66,29,32,1,1291578872.19781
67,29,6,3,1291590274.45619
68,29,31,1,1291591178.25959
69,31,29,1,1291591211.84395
70,17,13,1,1291623781.12772
71,17,14,1,1291623787.90955
72,27,33,1,1291684579.71178
73,33,27,1,1291684612.11599
74,34,1,2,1291740270.94728
75,10,6,1,1291757016.29721
76,6,10,1,1291757031.50303
77,21,35,1,1292070534.03952
78,35,21,1,1292071378.89261
79,21,36,1,1292085236.69986
80,36,21,1,1292085280.0736
81,32,29,2,1292099160.9751
82,32,37,2,1292189306.47485
83,37,32,2,1292189412.5311
84,32,38,2,1292193828.31273
85,38,32,2,1292195062.40986
86,1,38,1,1292196392.21474
87,38,1,1,1292196407.13906
88,6,2,6,1292200462.1576
89,27,30,2,1292206237.08404
90,30,27,2,1292206272.45044
91,27,16,2,1292297572.76433
92,16,27,2,1292297608.09604
93,6,27,3,1292361185.86524
94,27,6,4,1292361298.90511
95,6,37,4,1292442401.75654
96,37,6,4,1292442432.71184
97,6,39,1,1292447857.20632
98,39,6,1,1292490376.23637
99,21,6,2,1292716197.42619
100,3,41,5,1292795818.34165
101,29,16,2,1292819158.23834
102,16,29,2,1292819328.73322
103,3,43,2,1292823618.44624
104,43,3,3,1292823672.32603
105,43,15,8,1292823684.25402
106,43,1,2,1292823727.667
107,26,46,1,1292920838.87248
108,46,26,2,1292935948.10307
109,40,1,2,1292957157.40408
110,1,40,2,1292957195.7147
