5,1,4,1289241911.72836
5,4,2,1289241941.53378
1,11,1,1289243140.39049
3,2,7,1289245277.36975
10,12,8,1289254254.44746
10,9,8,1289254300.79514
6,4,1,1289362700.47913
1,16,5,1289370556.80938
1,15,5,1289370622.21473
16,1,5,1289380981.52787
16,1,8,1289441411.46365
16,9,8,1289441438.4426
16,7,9,1289441450.59006
16,2,7,1289441525.73831
13,2,5,1289442313.03711
13,17,1,1289489668.48486
9,1,8,1289555656.32898
9,5,7,1289555731.22217
9,16,8,1289555745.64663
9,7,1,1289555767.7095
9,18,10,1289555841.66508
9,1,7,1289555871.04233
9,2,7,1289555875.70958
3,19,1,1289641693.99029
19,3,1,1289641703.57785
4,1,3,1289660298.87048
4,5,3,1289660319.00982
4,6,1,1289660347.43795
1,4,4,1289710643.19963
5,3,2,1289770700.4293
3,5,5,1289770756.50297
1,3,5,1289771303.53929
13,20,1,1289836081.52099
13,10,2,1289873367.89538
10,13,2,1289873611.94452
10,21,2,1290088212.27332
21,10,2,1290090118.30882
13,15,2,1290108486.68868
3,22,1,1290197549.13082
22,3,2,1290197554.48422
23,5,1,1290300441.66925
10,1,8,1290520563.53596
6,25,1,1290644457.56157
25,6,1,1290644477.40213
23,1,1,1290666928.42163
1,23,1,1290666953.43175
1,25,1,1290750434.01249
25,1,1,1290752776.47886
25,10,1,1290758643.30207
10,25,1,1290761556.7369
5,6,5,1290826367.17211
6,5,3,1290826591.42034
1,13,9,1290969236.78019
1,22,2,1291052764.71454
22,1,3,1291055972.91439
26,5,2,1291056174.72596
1,10,3,1291090930.69481
27,28,1,1291157823.29216
28,27,1,1291159845.12556
26,1,1,1291159911.11891
13,1,9,1291217882.28299
7,1,3,1291315232.33698
6,21,2,1291376109.62385
1,15,2,1291505266.30993
28,31,1,1291515528.23159
31,28,1,1291515697.49227
29,32,1,1291578872.19781
29,6,3,1291590274.45619
29,31,1,1291591178.25959
31,29,1,1291591211.84395
17,13,1,1291623781.12772
17,14,1,1291623787.90955
27,33,1,1291684579.71178
33,27,1,1291684612.11599
34,1,2,1291740270.94728
10,6,1,1291757016.29721
6,10,1,1291757031.50303
21,35,1,1292070534.03952
35,21,1,1292071378.89261
21,36,1,1292085236.69986
36,21,1,1292085280.0736
32,29,2,1292099160.9751
32,37,2,1292189306.47485
37,32,2,1292189412.5311
32,38,2,1292193828.31273
38,32,2,1292195062.40986
1,38,1,1292196392.21474
38,1,1,1292196407.13906
6,2,6,1292200462.1576
27,30,2,1292206237.08404
30,27,2,1292206272.45044
27,16,2,1292297572.76433
16,27,2,1292297608.09604
6,27,3,1292361185.86524
27,6,4,1292361298.90511
6,37,4,1292442401.75654
37,6,4,1292442432.71184
6,39,1,1292447857.20632
39,6,1,1292490376.23637
21,6,2,1292716197.42619
3,41,5,1292795818.34165
29,16,2,1292819158.23834
16,29,2,1292819328.73322
3,43,2,1292823618.44624
43,3,3,1292823672.32603
43,15,8,1292823684.25402
43,1,2,1292823727.667
26,46,1,1292920838.87248
